title,original_title,overview,release_date
The Lincoln Lawyer,The Lincoln Lawyer,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.",2011-03-17
The Avengers,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25
Crooked Arrows,Crooked Arrows,A native-American lacrosse team makes its way through a prep school league tournament.,2012-05-18
Stone Markers,Stone Markers,"""I see you, friends..."" So says an eerie voice in the woods that seems to haunt identical twin brothers, Cory and Connor Sherman and their three friends after they discover a strange stone marker in the woods. And when a mental patient escapes and a young boy disappears, the group embarks on a quest that uncovers information related to the disappearances of seven children more than thirty years earlier. But what starts out as an adventure soon turns terrifying as one of the boys goes missing and the remaining boys are confronted by a horrifying truth that threatens their very lives.",2012-01-01
The Coin Bearer,Oros,"The film set in a decadent world where even death becomes a provider.  In a country where a cadaver may serve as license for holding a sakla operation (illegal gambling) in wakes, people may exploit the dead in order to generate income from the profits of gambling, and possibly pay for its burial.  In Oros, a funeral parlor owner sells an unidentified body to Makoy, a kasero in a saklaan, who, along with his reluctant brother, Abet, set the stage for a three-week long fake wake holding the illegal saklaan.  The sakla personnel deals with everyone involved, including Linda, an impoverished homeowner, as they agree upon a fictional story which will “legitimize” the wake.",2012-09-30
Assisted Fishing,Assisted Fishing,"Dewey Winfield is a lovable loser who wants nothing more than to beat the guy who has bullied him his whole life in a big fishing tournament.  In order to win, Dewey will need the help of some eccentric senior citizens who are about to be evicted from their assisted living home.  When they all go fishing, comedy ensues - tragedy strikes - and Dewey discovers that his hopes and dreams of winning the fishing tournament may not be the most important thing in life after all.",2012-01-19
Jack Reacher,Jack Reacher,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",2012-12-20
Nothing Sacred,Nothing Sacred,"A pair of twins named Blue and Delilah, separated at birth, meet for the first time at their mother's death bed. Their mother tells the twins that it is their fate to fulfill a secret prophecy. The prophecy foretold long ago that they would avenge her death by killing the dark sorcerer Chambers. The only problem is that Chambers is their father - and in a month from now, he'll have the last gruesome ingredient he needs to become immortal. As time runs down, the twins chase Chambers across the world from the corpse-filled catacombs of Paris to the most sacred rituals of the Muskogee Indians in Oklahoma. Along the way, they have to do battle with Chambers' vast army of followers, bringing them face to face with the Mayor of Paris, the Greek god Hermes, a street magician whose frightening tricks are real, and an immortal king with a castle hidden high in the mountains of Belgium.",2012-01-01
Smoke Traders,Smoke Traders,Smoke Traders is an inside look at the world of the Mohawk tobacco trade.,2012-10-24
Animals,Animals,"Pol is a teenager with a seemingly calm life: he lives with his brother and is still in high school. However, Pol has a secret: Deerhoof, a cuddly teddy bear who thinks, moves around and with whom he shares his best moments. Life goes on as normal until the arrival of Ikari, an enigmatic student who seems to be hiding something. Pol is fascinated by his new classmate and attracted to the dark side he harbors. An inexplicable death and a series of strange events will transform the meek student's routine into a fantastic adventure which will take over their lives. Animals is a story of teenage love, of sacrifice, of the tragedy of two clashing worlds. A Tale in which the power of imagination blurs its borders with reality and where death turns out to be an ending as tempting as inevitable.",2012-10-26
Paperman,Paperman,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,2012-11-02
Ted,Ted,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",2012-06-29
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",2012-12-12
Kath & Kimderella,Kath & Kimderella,Kath & Kim turn more than just heads when they go on an overseas trip and end up being the centre of their very own fairytale.,2012-09-06
Crimson Mask,Crimson Mask,"Crimson Mask is a documentary film by Marco Eisenbarth, that follows German 'Ultra Violence Wrestler' Thumbtack Jack a.k.a. Alexander Bedranowsky in and outside of the wrestling ring.  Being much more than a simple career review, the film gives a deep insight beyond the mask of this seemingly violent and insane character that is Thumbtack Jack, who mutilates his opponents with thumbtacks, barbed wire, syringes and even fire. Crimson Mask shows the man on the other side.  From his career high in the USA to his feud with arch enemy Drake Younger all the way to his very last 'Death-Match' against long time friend and mentor 'Hate', the filmmaker never leaves Thumbtack Jack's side. But then fate strikes and changes Alexander Bedranowsky's life forever...",2012-03-22
Blood Money,Blood Money,"Zheng Zhou is the most feared warrior from the Shaolin Dynasty in China. His fighting and weapons skills are legendary. But when his parents are killed and sister kidnapped, he turns to a life of drugs and crime that will almost kill him. With the help of Hong Kong's notorious Dragon Triad syndicate, Colombia's biggest drugs cartel hatches an elaborate plan to traffic two tonnes of crack cocaine through the Port of Miami in America and ultimately into Australia and China. But when the partnership turns sour after the Cartel holds a Triad family member hostage, the Triads recruit Zhou to rescue the girl and kill the Colombians. What ensues is a bloodied street war across three countries. Zhou turns international Hitman with an arsenal of hi-tech surveillance devices, explosives, high powered weaponry and an array of fighting skills dating back fifteen hundred years. But just as Zhou rescues the hostage and takes control of the entire drugs shipment...",2012-08-28
The Pact,The Pact,"After their mother passes away, sisters Nicole and Annie reluctantly return to their childhood home to pay their last respects. While staying overnight in the house, the sisters sense a mysterious presence in their midst: noises startling them in the night, objects moving about, a fallen picture of an unknown woman posed next to their mother. Annie begins experiencing a series of intense and disturbing dreams - visions that lead her to uncover something terrible about her mother's past that is finally revealing itself.",2012-05-25
Frankenweenie,Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",2012-10-04
Still Mine,Still Mine,"Craig, a fiercely determined New Brunswick farmer, sets out to build a more suitable house for his ailing wife, Irene, despite their children's concerns. As he starts building, he is blindsided by the bureaucratic codes and officials. As Irene becomes increasingly ill, Craig fights back. Based on a true story.",2012-09-10
Aufzug,Aufzug,"The story is set some time in the past, or maybe some time in the future. Given a time-frame, we would say somewhere between the American moonwalk, and Coca- Cola's serious ambition to turn the moon into an advertising logo. Our central character, the young lift operator, is formed by experience into cynicism, detachment, and apathy. The story builds to its crescendo: of public outrage and state crackdown; the banality of commercial interest and the monumental rape of nature. Set in a large newspaper office, the Lift is a place of relative safety. But floor by floor, with each passenger in his or her tableau, the atmosphere of mayhem seeps in. Finally our young character leaves the situation, far-gone in hopelessness and disinterest.",2012-02-07
Dark Tide,Dark Tide,"A traumatized shark expert must battle her own fears to lead a thrill-seeking businessman on a dive into a dangerous section of water known as ""Shark Alley.""",2012-03-28
Excision,Excision,"An outcast teenager, Pauline, practices surgical skills and harbors increasingly violent psychosexual fantasies.",2012-09-12
Lockout,Lockout,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",2012-04-12
The Awakened,The Awakened,"Five friends have a party to ride out a hurricane in Miami. As if it were not bad enough being trapped inside the house while natural forces wreak havoc outside, something is trapped inside with them. The storm is the least of their worries trying to make it through the night.",2012-09-08
Mirror Mirror,Mirror Mirror,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",2012-03-15
Museum Hours,Museum Hours,A security guard working at an art museum in Vienna crosses paths with a Canadian woman in town to visit her ailing cousin.,2012-08-08
Gambit,Gambit,"An art curator decides to seek revenge on his abusive boss by conning him into buying a fake Monet, but his plan requires the help of an eccentric and unpredictable Texas rodeo queen.",2012-04-25
Butter,Butter,An adopted girl discovers her talent for butter carving and finds herself pitted against an ambitious local woman in their Iowa town's annual contest.,2012-10-05
Hitchcock,Hitchcock,"Following his great success with ""North by Northwest,"" director Alfred Hitchcock makes a daring choice for his next project: an adaptation of Robert Bloch's novel ""Psycho."" When the studio refuses to back the picture, Hitchcock decides to pay for it himself in exchange for a percentage of the profits. His wife, Alma Reville, has serious reservations about the film but supports him nonetheless. Still, the production strains the couple's marriage.",2012-11-22
Berserk: The Golden Age Arc I - The Egg of the King,ベルセルク 黄金時代篇I 覇王の卵,"Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?",2012-02-04
The Capsule,The Capsule,"Seven girls, a mansion perched on a Cycladic rock, a cycle of lessons on discipline, desire and demise-infinitely.",2012-08-03
Doors Open,Doors Open,"Heist thriller and adaptation of Ian Rankin's book, which sees a bored millionaire plan to swap the contents of a gallery's warehouse with near-perfect forgeries.",2012-12-26
Mighty Fine,Mighty Fine,"Set in the 1970's, MIGHTY FINE is the story of Joe Fine (Chazz Palminteri) a charismatic, high-spirited man, who relocates his family--wife Stella (Andie MacDowell), a Holocaust survivor, daughters Nathalie (Jodelle Ferland) and Maddie (Rainey Qualley)--from Brooklyn to New Orleans, in search of a better life. Unfortunately, Joe's spending spree is wildly out of touch with reality, as his apparel business is teetering on the brink of collapse, a fact he refuses to accept. Written and directed by Debbie Goodstein, MIGHTY FINE is told from the perspective of an adult Nathalie remembering the events of her youth, and is inspired by Goodstein's memories of her own father. MIGHTY FINE ultimately shows how coming to terms with the past without judgment is the most fruitful way to move toward the future.",2012-05-25
Hick,Hick,A pistol-packing teen meets an unstable rebel and a cocaine-snorting drifter as she hitchhikes her way out West.,2012-05-11
Populaire,Populaire,An insurance agent and his new secretary become locked in the grip of romance and competition as they train together for a speed-typing contest.,2012-11-27
Prometheus,Prometheus,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",2012-05-30
The Outback,The Outback,"Being teased for his color, Johnny the white koala joins a traveling carnival with Hamish, a Tasmanian devil, and Higgens, a photographer monkey as talent agents. On the way through the Australian outback desert, the trailer they are in comes loose and crashes. Johnny must live up to the hero status Hamish presents him as while the outback locals try to rescue a kidnapped koala from Bog, a giant crocodile and his dingo lackeys.",2012-01-12
The Dark Knight Rises,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-17
The Paperboy,The Paperboy,A reporter returns to his Florida hometown to investigate a case involving a death row inmate.,2012-09-14
Steel Magnolias,Steel Magnolias,"In an updated contemporary version of the beloved stage play and 1989 film, ""Steel Magnolias"" chronicles the lives and friendship of six women in Louisiana. Supporting each other through their triumphs and tragedies, they congregate at Truvy’s beauty shop to ponder the mysteries of life and death, husbands and children - and hair and nails - all the important topics that truly unite and celebrate women.",2012-10-07
Hotel Transylvania,Hotel Transylvania,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",2012-09-20
Hotel Transylvania,Hotel Transylvania,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",2012-09-20
MOON SAGA - Mysteries of Yoshitsune I,Moon Saga 義経秘伝,"The theatre play is set in the late Heian (794–1185) and early Kamakura period (1185–1333) in Japan. The main character is young adult Minamoto no Yoshitsune, from the Minamoto clan. Like previous chapters, it is a historical fiction, a world with supernatural powers and spirits (Mononokes). The idea was to create a story where the Oni (Japanese demons) were the origin of vampires, and eventually of the central character.[19] In the Heian period existed those called as Mononoke (spirits), and Mononofu, who were born between humans and Mononoke, and with special powers dominated both Mononoke and humans. The story from Mysteries of Yoshitsune spreads out when the member with inherited blood crossed over to Europe, and became the progenitor of the later vampires.",2012-07-15
16 Acres,16 Acres,The dramatic inside story of the monumental collision of interests at Ground Zero in the decade after 9/11.,2012-09-23
Seattle Superstorm,Seattle Superstorm,"An object is shot down over Seattle and the debris begins to affect the local weather, ultimately threatening the whole world.",2012-03-31
NS Roulette,Fragmenti,A story about an unusual break-up.,2012-02-01
Damage,Damage,"A prominent married couple Taiwo and Sarah played by Uche Jombo and Kali Ikeagwu respectively, have a life that is marred by domestic violence. When things are going well, their relationship is blissful, but when it is going badly is hellish. On one occasion the husband surprises his wife by spelling out I love you with petals by their swimming pool, but when they fight it is vicious and violent. Quick tempered Taiwo appeases his wife by buying her gifts after they fight. Their home life affects their children in the worst way. Their son is violent at school and their daughter is withdrawn to the point of muteness, her own way of protesting, but the couple refuses to see that the violent nature of their relationship is responsible until it is too late.",2012-11-11
Underworld: Awakening,Underworld: Awakening,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",2012-01-19
Bait,Bait,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,2012-09-05
Always: Sunset on Third Street '64,ALWAYS 三丁目の夕日 '64,"The Tokyo Olympics are about to open, and Rynosuke Chagawa is excited to receive a new TV set to watch the upcoming events. His wife Hiromi is pregnant and he has built a second level on his shop to provide his adopted son Junnosuke with a private space to study for entrance to Tokyo University to set up a career with a major company. He dreams of sparing Junnosuke the struggles that he has faced as a writer. The family continues to rely upon Hiromi's income from her bar. Meanwhile a rival story, The Virus, by a new writer has appeared in the periodical that has been publishing his stories ""Boy's Adventure Book"" and he fears the new competition. Norifumi Suzuki also receives a new TV, but more of a deluxe model. Mutsuko Hoshino (Roku) is still the principal mechanic in the Suzuki family's auto repair shop, but she dresses up some mornings to go to a nearby street with the hope of a ""chance"" meeting with Dr...",2012-01-21
Deadfall,Deadfall,"A thriller that follows two siblings who decide to fend for themselves in the wake of a botched casino heist, and their unlikely reunion during another family's Thanksgiving celebration.",2012-11-08
A Smile as Big as the Moon,A Smile as Big as the Moon,"Mike Kersjes is a special-education teacher and football coach in Michigan. Mike doesn’t talk down to his ""special"" students. He respects them, and he believes they’re capable of achieving great things. When Mike hears about Space Camp, a competitive education program at the U.S. Space and Rocket Center, he gets an idea. Even though the program is designed for gifted science students, Mike decides participating in the summer program would do wonders for the self-esteem of his young students, one in particular who wants to be an astronaut.",2012-01-29
Django Unchained,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012-12-25
Captive,Captive,A dozen foreigners are kidnapped by a terrorist group in the Philippines.,2012-09-05
A.C.A.B. - All Cops Are Bastards,A.C.A.B. - All Cops Are Bastards,"A look at the controversial riot cops unit, told through the stories of three veteran cops and a young recruit.",2012-01-27
Creeper,Creeper,"Heather and her friends have some devilish fun on the social website, ConnectMeNet. However, their amusement has come at the expense of a lonely and medicated half-wit, Jerry Tobin. After goading him into humiliating himself on camera in various cruel acts of depravity, they post the clips online for the world to see in a video titled ""Revenge on a Creeper"". This ruins Jerry's meager life and he disappears without a trace... Fast forward a year, and the tables are now turned when Jerry reemerges, off the antipsychotic medication that clouded his thoughts and kept his demons at bay. Now the girls are forced into a nightmarish fight for their lives!",2012-08-16
Supremo,Supremo,A film about Andres Bonifacio.,2012-12-05
The Corridor,The Corridor,Friends on a weekend excursion take a path into a forest that leads to death and destruction.,2012-03-30
Kalakala,Kalakala,"Eight days before Christmas, Typhoon Sendong ravaged a small city in the northern coastline of the Philippines, burying most of it in water. 8,128 families displaced; almost 5,000 dead; at least a thousand missing, most of them presumed to have been buried alive.  Three weeks after, a man is found walking around the city in broad daylight, a dead ""baby"" in his arms. He wanders around the business district, dogged by locals who wondered, sympathized, empathized.  Following the ghost of his wife, he walks on until he reaches a river and drowns himself.",2012-03-10
Spike Island,Spike Island,"Teenage musicians travel to England's Spike Island in the hope of attending an outdoor performance by their favorite band, the Stone Roses.",2012-10-11
Southern Dyscomfort,Southern Dyscomfort,"Set amongst a tapestry of fairytale excess, Michael is reared and mentored by a black maid Annie Mae. Michael is surrounded by dysfunctional, quirky, upscale family and friends. Annie Mae is the ""mother"" that navigates Michael through hilarious perplexing complications. Michael juggles lovers, Kelly the conniving 1st wife, Dorian the gold digging 2nd wife, Marc the easy going effeminate 1st gay lover and Robin the drug addled manipulative 2nd gay lover, all the while haunted by his deceased girlfriend Gardenia who happens to be Anie Mae's niece. Matters are greatly complicated when Kennedy Gamble the butler and Michael's half brother meddles with the family and their finances.",2012-06-18
Hope Springs,Hope Springs,"After thirty years of marriage, a middle-aged couple attends an intense, week-long counseling session to work on their relationship.",2012-08-07
The Amazing Spider-Man,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-23
The Lorax,The Lorax,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",2012-03-01
American Reunion,American Reunion,"The characters we met a little more than a decade ago return to East Great Falls for their high school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.",2012-04-04
Generation Um...,Generation Um...,"A drama that follows three adults during a single day in New York, one filled with sex, drugs, and indecision.",2012-07-11
Wreck-It Ralph,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012-11-01
Django Unchained,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012-12-25
Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",2012-06-22
A Gun in Each Hand,Una pistola en cada mano,J. is depressed. E. lives peacefully. S. tries to get back with his wife. G. resorts to anxiolytics. P. plays seduction games. María and Sara exchange their husbands. L. calls his lover in a peculiar way.,2012-12-05
Damage,Damage,"A prominent married couple Taiwo and Sarah played by Uche Jombo and Kali Ikeagwu respectively, have a life that is marred by domestic violence. When things are going well, their relationship is blissful, but when it is going badly is hellish. On one occasion the husband surprises his wife by spelling out I love you with petals by their swimming pool, but when they fight it is vicious and violent. Quick tempered Taiwo appeases his wife by buying her gifts after they fight. Their home life affects their children in the worst way. Their son is violent at school and their daughter is withdrawn to the point of muteness, her own way of protesting, but the couple refuses to see that the violent nature of their relationship is responsible until it is too late.",2012-11-11
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012-11-13
Dark Shadows,Dark Shadows,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,2012-05-09
Eddie: The Sleepwalking Cannibal,Eddie: The Sleepwalking Cannibal,A once-famous painter rediscovers inspiration when he befriends a sleepwalking cannibal.,2012-04-22
En el ombligo del cielo,En el ombligo del cielo,"Andrea, a young executive is trapped through the weekend on the rooftop of her office alongside Gualberto, the janitor. Truly lost in an asphalt and glass sea, both characters think over their lives and values.",2012-11-18
Hemingway & Gellhorn,Hemingway & Gellhorn,Writer Ernest Hemingway begins a romance with fellow scribe Martha Gellhorn.,2012-08-27
The Cold Call,A puerta fría,The story of salesman Salvador Lozano and his ambiguous relationship with young hostess Inés.,2012-04-22
The Lucky One,The Lucky One,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,2012-04-19
Larong Bata,Larong Bata,"It tells the story of Marlon a pathetic student but excellent in class who is regularly picked-on by his classmates and even cyber-violated by using a cellphone to film the attack. Dessa, a 16-year-old girl and a victim of child molestation, is being relentlessly bullied by three of her classmates as she tries hard to improve on herself. Amy, a junior high school student on the other hand is a social climber trying her best to please everyone but ended up being hated and despised. Gelo, an elementary pupil with average skills suffers emotional pain after a series of physical and mental abuse by his classmate and former basketball teammate. One final incident of bullying sends him over the edge and leads him to almost commit an act of violence that stunned the entire school community. The whole story is presented comically, highly amusing and entertaining for minor audiences but the message of bullying is emphasized and addressed.",2012-10-20
Rigodon,Rigodon,"A heartbroken young woman begins a sexual relationship with a struggling artista, not knowing that her new beau is already married. As the truth comes out, obsession and jealousy bring pain into all their lives.",2012-11-21
Help for the Holidays,Help for the Holidays,"Although she loves Christmas, Santa’s elf Christine (Summer Glau) wonders if there could be more to life than making toys in the North Pole. When Santa receives an emergency wish from a little boy in Los Angeles, he puts Christine on a special assignment, sending her to L.A. to give the VanCamp family—mom Sara (Eva La Rue), dad Scott (Dan Gauthier), and their two kids Ally (Izabela Vidovic) and Will (Mason Cook)—a holiday wake-up call. Will Christine fail her assignment and be sent back to the North Pole for good, or will the VanCamps come to their senses about the meaning of Christmas?",2012-12-09
The Oogieloves in the Big Balloon Adventure,The Oogieloves in the Big Balloon Adventure,"It's Schluufy's birthday, and the Oogieloves, along with their friends J. Edgar, Windy Window and Ruffy, are organizing a party. (Shh! It's a secret.) Everything is going along just perfectly until J. Edgar trips and loses the last five magical balloons in all of Lovelyloveville--OH NO! The Oogiloves set out to find the magical balloons in time to save their friend's party. Along the way, they meet some very interesting characters indeed, including Dotty Rounder, Bobby Wobbly, Milky Marvin, Rosalie Rosebud and Lola and Lero Sombero. Can these new friends help them recover the magical balloons and get back to the cottage in time to celebrate Schluufy's surprise birthday?",2012-08-29
Generation Um...,Generation Um...,"A drama that follows three adults during a single day in New York, one filled with sex, drugs, and indecision.",2012-07-11
The Corporation,La corporación,"The story focuses on Felipe Mentor, an ambitious and successful entrepreneur forties. Her company, called Mentor, is ascendant, to signing an agreement with a prestigious firm. Personally, Philip is married to a beautiful and charming woman named Luz, who seems to be the perfect woman. She runs her innermost desires and shown to Felipe madly in love and happy. This is because light works for a firm called Hit Life, a company that makes the dreams and aspirations of people from becoming reality.",2012-11-19
Rurouni Kenshin Part I: Origins,るろうに剣心,"In 1868, after the Bakumatsu war ends, the ex-assassin Kenshin Himura traverses Japan with an inverted sword, to defend the needy without killing.",2012-08-25
Boot,Boot,"Best friends Dana and Julia drink alcopops in Julia's mum's car, while the boys hang out on a park bench smoking weed. It's time to leave for the party and Julia discovers she has more than a carful, so the boys volunteer to get in the boot. When Dana refuses drive Julia takes the keys, and their fun night out takes a tragic turn. Mixing drama and gross-out comedy, BOOT shows how a good time can inexorably slide into tragedy; how sacrifice can seem like a betrayal; and how guilt is the heaviest burden to bear.",2012-03-27
Cosmopolis,Cosmopolis,"Riding across Manhattan in a stretch limo during a riot in order to get a haircut, a 28-year-old billionaire asset manager's life begins to crumble.",2012-05-25
Taken 2,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",2012-09-27
Accident,এক্সিডেন্ট,"Arko was a cricketer. He was an outstanding bowler and had also played for Bengal Cricket Team. Unfortunately, a torn ligament and a blotched-up operation put an end to his budding career. Frustration and depression continuously bogged him down and he tried his best to seek an alternate career. One early morning, while dropping his son to school, an accident occurs. A private bus could not apply the brakes on time at a road crossing and runs over little his son. Arko is flung aside. He survives but his son does not. Arko's life is shattered.The driver of the private bus, is arrested and the bus is seized. The Insurance Company enters the scene. Investigations begin. Who was really at fault? Why did the bus not brake on time? Was it a mechanical fault? Was the bus driver only a scape-goat? As the investigations deepen, many unpleasant realities come to the fore and Arko together with Kartick, the driver, and the Insurance agent, decide to take matters in their own hands.",2012-09-28
Hemingway & Gellhorn,Hemingway & Gellhorn,Writer Ernest Hemingway begins a romance with fellow scribe Martha Gellhorn.,2012-08-27
Project X,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",2012-03-01
Charles Dickens' A Christmas Carol,Charles Dickens' A Christmas Carol,"On the anniversary of Jacob Marley's death, his business partner Ebenezer Scrooge finds unwelcome company in the form of three spirits from Christmases Past, Present and Yet to Come.",2012-01-02
Apocryphal,Apócrifo,"Bewildered, Carlos awakens from a nightmare stalked by Death. The dream has a foreboding message, which is not entirely clear to him. Carlos decides to challenge his destiny and face the consequences, but his evil doing ends up shaping his own fate and that of those around him. Macabre by choice, Carlos attempts to tip the scales by changing the course of the plot designed by the gods. In this story,the unsettling city of Mexico is the backdropthat reveals psychological and human postures characteristic of a big city. It is a story where individuals who change their destiny with masks and opportunism manipulate morality, religion and reason for selfish personal gain.",2012-03-28
Cellmates,Cellmates,"Leroy Lowe, grand dragon of the Texas Ku Klux Klan confronts everything he's been taught to hate when he's sentenced to three years of hard labor on a prison work farm, where Warden Merville, dead set on rehabilitating Leroy, chooses Emilio, a Hispanic field worker imprisoned for fighting for labor rights, to be his cell-mate. Leroy, confined in a small cell with the enemy, far from the KKK comrades who deserted him, finds the chatty Emilio slowly chipping away at his anger and prejudice. His weekly rehabilitation meetings with the warden, barely tolerable as the man drones on about farm labor and field crops, take on a different meaning when Madalena, a beautiful Mexican maid is hired to clean the warden's office. An unconventional love story develops that opens Leroy's eyes to the possibility of a different life. And a man who was a born and bred racist finds himself heading down a completely different path to salvation.",2012-06-01
Confine,Confine,"Pippa is a physically and emotionally scarred former model living as a recluse in her meticulous Georgian flat. When a heist taking place in the same building goes wrong, Pippa's home is broken into by the charismatic Kayleigh. Pippa is taken hostage by this unpredictable and volatile thief who's looking for a temporary hideout, but when outside forces close in, Kayleigh takes a darker path to get her way. As the confined space becomes a fighting ring, in a tense struggle to get out Pippa learns how to stand up for herself once again.",2012-09-29
